Loan_ID,Gender,Married,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status
LP001003,1,1,4583,1508,128,0
LP001005,1,1,3000,0,66,1
LP001006,1,1,2583,2358,120,1
LP001008,1,0,6000,0,141,1
LP001011,1,1,5417,4196,267,1
LP001013,1,1,2333,1516,95,1
LP001014,1,1,3036,2504,158,0
LP001018,,1,4006,1526,168,1
LP001020,1,1,12841,10968,349,0
LP001024,1,1,3200,700,70,1
LP001027,1,1,2500,1840,109,1
LP001028,1,1,3073,8106,200,1
LP001029,1,0,1853,2840,114,0
LP001030,1,1,1299,1086,17,1
LP001032,1,0,4950,0,125,1
LP001036,0,0,3510,0,76,0
LP001038,1,1,4887,0,133,0
LP001043,1,1,7660,0,104,0
LP001046,1,1,5955,5625,315,1
LP001047,1,1,2600,1911,116,0
LP001050,NA,1,3365,1917,112,0
LP001066,1,1,9560,0,191,1
LP001068,1,1,2799,2253,122,1
LP001073,1,1,4226,1040,110,1
LP001086,1,0,1442,0,35,0
LP001087,0,0,3750,2083,120,1
LP001095,1,0,3167,0,74,0
LP001097,1,0,4692,0,106,0
LP001098,1,1,3500,1667,114,1
LP001100,1,0,,3000,320,0
LP001112,0,1,3667,1459,144,1
LP001114,1,0,4166,7210,184,1
LP001116,1,0,3748,1668,110,1
LP001119,1,0,3600,0,80,0
LP001120,1,0,1800,1213,47,1
LP001131,1,1,3941,2336,134,1
LP001138,1,1,5649,0,44,1
LP001144,1,,5821,0,144,1
LP001146,0,1,2645,3440,120,0
LP001151,0,0,4000,2275,144,1
LP001155,0,1,1928,1644,100,1
LP001157,0,0,3086,0,120,1
LP001164,0,0,4230,0,112,0
LP001179,1,1,4616,0,134,0
LP001186,0,1,11500,0,286,0
LP001194,1,1,2708,1167,97,1
LP001195,1,1,2132,1591,96,1
LP001197,1,1,3366,2200,135,0
LP001198,1,1,8080,2250,180,1
LP001199,1,1,3357,2859,144,1
LP001205,1,1,2500,3796,120,1
LP001206,1,1,3029,0,99,1
LP001207,1,1,2609,3449,165,0
LP001222,0,0,,0,116,0
LP001225,1,1,5726,4595,258,0
LP001228,1,,3200,2254,126,0
LP001233,1,1,10750,0,312,1
LP001238,1,1,7100,0,125,1
LP001241,0,0,4300,0,136,0
LP001243,1,1,3208,3066,172,1
LP001245,1,1,1875,1875,97,1
LP001248,1,0,3500,0,81,1
LP001253,1,1,5266,1774,187,1
LP001255,1,0,3750,0,113,0
LP001256,1,0,3750,4750,176,0
LP001259,1,1,1000,3022,110,0
LP001263,1,1,3167,4000,180,0
LP001265,0,0,3846,0,111,1
LP001267,0,1,1378,1881,167,0
LP001275,1,1,3988,0,50,1
LP001279,1,0,2366,2531,136,1
LP001282,1,1,2500,2118,104,1
LP001289,1,0,8566,0,210,1
LP001310,1,1,5695,4167,175,1
LP001316,1,1,2958,2900,131,1
LP001318,1,1,6250,5654,188,1
LP001319,1,1,3273,1820,81,1
LP001322,1,0,4133,0,122,1
LP001325,1,0,3620,0,25,1
